Token,POS
teikengroep,NSE
;,ZM
,
hierdie,PA
suid-afrikaners,NSM
verteenwoordig,VTHOG
die,LB
hoop,NA
en,KN
deursettingsvermoë,NA
wat,PB
ons,PEMB
nasie,NSE
kenmerk,VTHOG
.,ZE
,
4,RS
=,RS
leerder,NSE
se,UPS
prestasie,NSE
het,VUOT
die,LB
vereistes,NSM
vir,SVS
die,LB
leeruitkoms,NSE
vir,SVS
die,LB
graad,NSE
ver,BS
oortref,VTHOG
.,ZE
,
die,LB
verskerping,NA
van,SVS
gesamentlike,ASA
pogings,NSM
deur,SVS
alle,THAO
suid-afrikaners,NSM
om,SVS
maatskaplike,ASA
binding,NA
te,UPI
bewerkstellig,VTHOG
",",ZM
moet,VTUOM
'n,LO
kritieke,ASA
been,NSE
van,SVS
hierdie,PA
maatskaplike,ASA
ingrypings,NSM
uitmaak,VTHSG
.,ZE
,
die,LB
begunstigde,NSE
se,UPS
id-,RWD
of,KN
rekeningnommer,NSE
",",ZM
wat,PB
aan,SVS
'n,LO
spesifieke,ASA
soort,NSE
belasting,NM
gekoppel,VVHOG
is,VVUOP
.,ZE
,
skakels,NSM
met,SVS
derdepartywebwerwe,NSM
,
assesseringsbeginsels,NSM
wat,PB
in,SVS
uitkomsgebaseerde,ASA
onderwys,NA
gebruik,VTHOG
word,VTUOP
,
pogings,NSM
verskerp,VTHOG
om,SVS
jeugontwikkeling,NA
by,SVS
wyse,NSE
van,SVS
'n,LO
jeugkoördineringsprogram,NSE
by,SVS
die,LB
hoofstroom,NSE
van,SVS
die,LB
regering,NSE
se,UPS
werk,NA
te,UPI
integreer,VTHOG
",",ZM
en,KN
ononderbroke,ASA
pogings,NSM
om,SVS
werklose,ASA
gegradueerdes,NSM
met,SVS
indiensnemingsgeleenthede,NSM
in,SVS
aanraking,NSE
te,UPI
bring,VTHOO
-,ZM
en,KN
in,SVS
hierdie,PA
verband,NSE
wil,VTUOM
ons,PEMP
die,LB
talle,THAO
maatskappye,NSM
",",ZM
openbaar,ASP
én,KN
privaat,ASP
",",ZM
groot,ASP
én,KN
klein,ASP
",",ZM
wat,PB
op,SVS
skitterende,ASA
en,KN
praktiese,ASA
wyse,NSE
op,SVS
hierdie,PA
inisiatief,NSE
gereageer,VVHOO
het,VUOT
",",ZM
hartlik,BS
daarvoor,PB
bedank,VTHOG
,
ander,ASA
gebruike,NSM
van,SVS
assessering,NA
sluit,VTHOG
die,LB
volgende,NA
in,UPW
:,ZM
,
teen,SVS
2005,RS
het,VUOT
suid-afrika,NEE
reeds,BS
die,LB
millenniumontwikkelingsdoelwit,NSE
met,SVS
betrekking,NA
tot,SVS
basiese,ASA
watervoorsiening,NA
bereik,VTHOG
deurdat,KO
toegang,NA
tot,SVS
water,NM
van,SVS
59%,RS
in,SVS
1994,RS
tot,SVS
83%,RS
in,SVS
2006,RS
toegeneem,VVHOO
het,VUOT
.,ZE
,
die,LB
hersiene,ASA
nasionale,ASA
kurrikulumverklaring,NSE
graad,NSE
r-9,RS
(,ZPL
skole,NSM
),ZPR
volg,VTHOG
'n,LO
inklusiewe,ASA
benadering,NSE
deur,SVS
minimum,ASA
vereistes,NSM
vir,SVS
alle,THAO
leerders,NSM
te,UPI
spesifiseer,VTHOG
.,ZE
,
elke,PO
leerder,NSE
se,UPS
leerderprofiel,NSE
moet,VTUOM
veilig,BS
bewaar,VTHOG
word,VTUOP
en,KN
moet,VTUOM
leerders,NSM
deur,SVS
hul,PDMB
skoolloopbaan,NSE
vergesel,VTHOG
.,ZE
,
ná,SVS
die,LB
plaaslike,ASA
verkiesings,NSM
van,SVS
maart,NEE
2006,RS
is,VVUOP
inlywingsprogramme,NSM
dadelik,BS
aangebied,VVHOG
",",ZM
aangesien,KO
62%,RS
van,SVS
alle,THAO
burgemeesters,NSM
nuut,ASP
was,VVHOK
.,ZE
,
indien,KO
die,LB
testament,NSE
geen,THBB
spesifieke,ASA
eksekuteur,NSE
aanwys,VTHSG
nie,UPO
of,KN
,
die,LB
proses,NSE
gerig,VVHOO
op,SVS
die,LB
modernisering,NA
van,SVS
die,LB
suid-afrikaanse,ASA
inkomstediens,NSE
se,UPS
stelsels,NSM
",",ZM
veral,BS
met,SVS
betrekking,NA
tot,SVS
grensbeheer,NA
",",ZM
van,SVS
stapel,NSE
stuur,VTHOO
;,ZM
en,KN
die,LB
interdepartementele,ASA
koördineringstrukture,NSM
se,UPS
werk,NA
in,SVS
hierdie,PA
verband,NSE
verbeter,VTHOG
.,ZE
,
'n,LO
veeartseny-invoerpermit,NSE
is,VTHOK
nodig,ASP
om,SVS
suiwelprodukte,NSM
na,SVS
suid-afrika,NEE
in,UPW
te,UPI
voer,VTHOG
of,KN
hulle,PDMP
deur,SVS
die,LB
land,NSE
te,UPI
vervoer,VTHOG
.,ZE
,
enige,PO
persoon,NSE
(,ZPL
gebruiker,NSE
),ZPR
wat,PB
hierdie,PA
webwerf,NSE
besoek,VTHOG
",",ZM
is,VTHOK
onderhewig,ASP
aan,SVS
en,KN
stem,VTHOO
toe,UPW
tot,SVS
die,LB
bepalings,NSM
en,KN
voorwaardes,NSM
wat,PB
in,SVS
hierdie,PA
regskennisgewing,NSE
uiteengesit,VVHOG
word,VTUOP
.,ZE
,
dit,PDOENP
impliseer,VTHOG
ook,BS
'n,LO
vinnige,ASA
afname,NSE
in,SVS
regeringskuldvlakke,NSM
wanneer,PB
toestande,NSM
weer,BS
'n,LO
gunstige,ASA
wending,NSE
neem,VTHOG
.,ZE
,
bevoegdheid,NA
kan,VTUOM
op,SVS
verskeie,ASA
maniere,NSM
getoon,VVHOG
word,VTUOP
.,ZE
,
die,LB
direktoraat,NSE
dieregesondheid,NA
reik,VTHOG
eers,BS
'n,LO
permit,NSE
uit,UPW
wanneer,PB
hulle,PDMP
'n,LO
afskrif,NSE
ontvang,VTHOG
van,SVS
die,LB
permit,NSE
wat,PB
deur,SVS
die,LB
registrateur,NSE
van,SVS
wet,NSE
36,RS
van,SVS
1947,RS
uitgereik,VVHOG
is,VVUOP
.,ZE
,
as,KO
suid-afrikaners,NSM
moet,VTUOM
ons,PEMP
saam,BS
praat,VTHOO
oor,SVS
vryheid,NA
van,SVS
gebrek,NSE
en,KN
van,SVS
morele,ASA
verval,NA
",",ZM
en,KN
saamwerk,VTHSO
om,SVS
die,LB
geluk,NA
te,UPI
vind,VTHOG
wat,PB
daarmee,PB
saamhang,VTHSO
.,ZE
,
hoe,PB
gou,BS
terugvoering,NA
gegee,VVHOG
word,VTUOP
;,ZM
,
die,LB
betaaldatum,NSE
vir,SVS
voorlopige,ASA
belasting,NSE
vir,SVS
die,LB
eerste,TRAB
periode,NSE
is,VTHOK
binne,SVS
ses,THAB
maande,NSM
na,SVS
die,LB
begin,NA
van,SVS
die,LB
belastingjaar,NSE
.,ZE
,
let,VTHOO
wel,BS
:,ZM
die,LB
invoerder,NSE
moet,VTUOM
sowel,KO
die,LB
binnelandse,ASA
as,KO
die,LB
buitelandse,ASA
bankkoste,NSE
betaal,VTHOG
die,LB
departement,NSE
sal,VTUOM
nie,BS
'n,LO
permit,NSE
uitreik,VTHSG
voor,SVS
die,LB
volle,ASA
bedrag,NSE
ontvang,VTHOG
is,VVUOP
nie,UPO
.,ZE
,
vir,SVS
vanjaar,BS
sluit,VTHOG
ons,PEMB
program,NSE
in,SVS
die,LB
maatskaplike,ASA
sektor,NSE
ook,BS
die,LB
volgende,NA
in,UPW
:,ZM
,
deelname,NA
aan,SVS
en,KN
prestasie,NSE
in,SVS
buitemuurse,ASA
aktiwiteite,NSM
;,ZM
,
die,LB
volksnaam,NSE
en,KN
wetenskaplike,ASA
naam,NSE
van,SVS
elke,PO
spesie,NSE
wat,PB
uitgevoer,VVHOG
gaan,VTUOM
word,VTUOP
,
onder,SVS
sekere,ASA
omstandighede,NSM
kan,VTUOM
gebruikers,NSM
egter,BS
toegang,NA
tot,SVS
sekere,ASA
dele,NSM
van,SVS
hierdie,PA
webwerf,NSE
geweier,VVHOG
word,VTUOP
indien,KO
hulle,PDMP
blaaiers,NSM
ingestel,VVHOG
is,VVUOP
om,SVS
koekies,NSMD
te,UPI
weier,VTHOG
.,ZE
,
ons,PEMP
het,VUOT
hierbenewens,PB
ook,BS
begin,VTUOA
ondersoek,NSE
instel,VTHSG
na,SVS
maatreëls,NSM
waarmee,PB
ons,PEMB
kwesbare,ASA
kinders,NSM
wat,PB
ouer,AVP
as,KO
14,RS
jaar,NSE
is,VTHOK
",",ZM
kan,VTUOM
bereik,VTHOG
.,ZE
,
alle,THAO
leerders,NSM
leer,VTHOG
hul,PDMB
huistaal,NSE
en,KN
minstens,BS
een,THAB
addisionele,ASA
amptelike,ASA
taal,NSE
.,ZE
,
waterhervorming,NA
wat,PB
op,SVS
hierdie,PA
reg,NSE
gebaseer,VVHOG
is,VVUOP
",",ZM
het,VUOT
die,LB
land,NSE
in,SVS
staat,NSE
gestel,VVHOG
om,SVS
toegang,NA
uit,UPW
te,UPI
brei,VTHOG
en,KN
die,LB
erflating,NA
van,SVS
rasseongelykheid,NA
",",ZM
wat,PB
'n,LO
apartheidsnalatenskap,NSE
was,VVHOK
",",ZM
deels,BS
deur,SVS
regsgebaseerde,ASA
geregtigheid,NA
te,UPI
oorkom,VTHOG
"""",ZPR
.,ZE
,
bevoegdheid,NA
in,SVS
spesifieke,ASA
leeruitkomste,NSM
kan,VTUOM
op,SVS
talle,THAO
verskillende,ASA
maniere,NSM
getoon,VVHOG
word,VTUOP
;,ZM
dus,BS
moet,VTUOM
'n,LO
verskeidenheid,NSE
assesseringsmetodes,NSM
en,KN
geleenthede,NSM
waartydens,PB
leerders,NSM
hul,PDMB
vermoë,NSE
kan,VTUOM
toon,VTHOG
",",ZM
gebruik,VTHOG
en,KN
verskaf,VTHOG
word,VTUOP
.,ZE
,
daar,UXD
is,VTHOK
ses,THAB
hoofleeruitkomste,NSM
:,ZM
,
derdens,TRBB
",",ZM
die,LB
dinamika,NA
onderliggend,ASP
aan,SVS
armoede-,RWD
en,KN
ongelykheidsneigings,NSM
bepaal,VTHOG
die,LB
breë,ASA
beleidsuitkyk,NA
.,ZE
.,ZE
.,ZE
,
indien,KO
die,LB
eienaar,NSE
van,SVS
die,LB
vaartuig,NSE
nie,BS
'n,LO
visvangsregtehouer,NSE
is,VTHOK
nie,UPO
",",ZM
moet,VTUOM
'n,LO
kontrak,NSE
wat,PB
aandui,VTHSG
dat,KO
die,LB
vaartuigeienaar,NSE
die,LB
genoemde,ASA
vaartuig,NSE
mag,VTUOM
gebruik,VTHOG
",",ZM
saam,BS
met,SVS
jou,PTEB
aansoek,NSE
om,SVS
'n,LO
vaartuiglisensie,NSE
voorgelê,VVHOG
of,KN
ingesluit,VVHOG
word,VTUOP
.,ZE
,
die,LB
belangrikste,RO
is,VTHOK
dat,KO
ons,PEMB
sukses,NA
in,SVS
die,LB
stryd,NA
teen,SVS
misdaad,NSE
afhang,VTHSO
van,SVS
ons,PEMP
almal,PO
se,UPS
samewerking,NA
as,KO
wetsgehoorsame,ASA
burgers,NSM
",",ZM
aangevuur,VVHOG
deur,SVS
die,LB
beginsels,NSM
van,SVS
die,LB
landswette,NSM
",",ZM
respek,NA
vir,SVS
ons,PEMB
regbank,NSE
en,KN
die,LB
strewe,NA
na,SVS
gelyke,ASA
menseregte,NSM
",",ZM
wat,PB
ons,PEMB
grondwet,NSE
ons,PEMP
beveel,VTHOG
om,SVS
in,SVS
ons,PEMB
daaglikse,ASA
bestaan,NA
en,KN
uitsprake,NSM
na,UPW
te,UPI
kom,VTHOG
.,ZE
,
ons,PEMB
uitdaging,NSE
is,VTHOK
om,SVS
hierdie,PA
ideale,NSM
om,UPW
te,UPI
skakel,VTHOO
in,SVS
programme,NSM
en,KN
projekte,NSM
wat,PB
doeltreffend,BS
geïmplementeer,VVHOG
kan,VTUOM
word,VTUOP
.,ZE
,
indien,KO
die,LB
waarde,NSE
van,SVS
die,LB
boedel,NSE
minder,THAO
as,KO
r50,RS
000,RS
is,VTHOK
meld,VTHOG
die,LB
boedel,NSE
by,SVS
die,LB
landdroskantoor,NSE
aan,UPW
.,ZE
,
daarna,PB
word,VTUOP
die,LB
publiek,NM
drie,THAB
maande,NSM
kans,NSE
gegee,VVHOG
om,SVS
beswaar,NSE
aan,UPW
te,UPI
teken,VTHOG
.,ZE
,
saad,NM
of,KN
voortplantingsmateriaal,NM
,
in,SVS
die,LB
afdeling,NSE
",",VTHOG
verklaring,NSE
",",VTHOG
moet,VTUOM
jy,PTENP
die,LB
volgende,ASA
inligting,NM
verstrek,VTHOG
:,ZM
,
ek,PEENP
is,VVUOP
oortuig,VTHOG
daarvan,PB
dat,KO
suid-afrikaners,NSM
sal,VTUOM
saamstem,VTHSG
dat,KO
daar,UXD
as,KO
deel,NSE
hiervan,PB
en,KN
bykomend,ASP
tot,SVS
hierdie,PA
doelwitte,NSM
'n,LO
behoefte,NSE
is,VTHOK
om,SVS
die,LB
onderwysstelsel,NSE
te,UPI
verbeter,VTHOG
;,ZM
om,SVS
doeltreffende,ASA
",",ZM
behoorlike,ASA
en,KN
billike,ASA
gesondheidsorg,NA
te,UPI
bied,VTHOG
;,ZM
om,SVS
ons,PEMB
plattelandse,ASA
gebiede,NSM
te,UPI
ontwikkel,VTHOG
en,KN
voedselsekuriteit,NA
te,UPI
verseker,VTHOG
;,ZM
en,KN
om,SVS
die,LB
geveg,NSE
teen,SVS
misdaad,NSE
en,KN
korrupsie,NA
te,UPI
verskerp,VTHOG
.,ZE
,
die,LB
lotnommer,NSE
wat,PB
ingevoer,VVHOG
word,VTUOP
,
dien,VTHOG
'n,LO
aansoekvorm,NSE
in,UPW
vir,SVS
nuwe,ASA
aansoeke,NSM
en,KN
wysigings,NSM
aan,SVS
'n,LO
bestaande,ASA
registrasie,NSE
",",VTHOG
insluitende,SVS
verandering,NSE
van,SVS
formulering,NSE
.,ZE
,
programme,NSM
ter,SVS
verbetering,NSE
van,SVS
ons,PEMB
stelsel,NSE
van,SVS
plaaslike,ASA
regering,NSE
word,VTUOP
teen,SVS
'n,LO
vinnige,ASA
pas,NSE
voortgesit,VVHOG
.,ZE
,
die,LB
werk,NA
wat,PB
in,SVS
die,LB
loop,NA
van,SVS
verlede,ASA
jaar,NSE
gedoen,VVHOG
is,VVUOP
deurdat,KO
vroue,NSM
via,SVS
die,LB
suid-afrikaanse,ASA
vroue,NSM
in,SVS
dialoog,NSE
met,SVS
verskeie,ASA
regeringsdepartemente,NSM
saamgewerk,VVHOO
het,VUOT
",",ZM
en,KN
wat,PB
'n,LO
besoek,NSE
ingesluit,VVHOG
het,VUOT
aan,SVS
lande,NSM
soos,UPV
tunisië,NEE
en,KN
chile,NEE
",",ZM
waar,PB
groot,ASA
vordering,NA
met,SVS
die,LB
bekamping,NA
van,SVS
armoede,NA
gemaak,VVHOG
is,VVUOP
",",ZM
wys,VTHOG
sekere,ASA
tekortkominge,NSM
in,SVS
hierdie,PA
verband,NSE
in,SVS
ons,PEMB
stelsel,NSE
uit,UPW
.,ZE
,
dit,PDOENP
sal,VTUOM
ondersteuning,NA
van,SVS
ons,PEMB
ontwikkelingsfinansieringsinstansies,NSM
en,KN
leningsfinansiering,NM
van,SVS
internasionale,ASA
agentskappe,NSM
insluit,VTHSG
",",ZM
sowel,KO
as,KO
'n,LO
vennootskap,NSE
met,SVS
die,LB
privaatsektor,NSE
en,KN
die,LB
aanwending,NA
van,SVS
hulpbronne,NSM
wat,PB
deur,SVS
werkers,NSM
beheer,VTHOG
word,VTUOP
",",ZM
soos,UPV
pensioenfondse,NSM
.,ZE
,
stappe,NSM
om,SVS
te,UPI
volg,VTHOG
,
in,SVS
hierdie,PA
opsig,NSE
is,VTHOK
daar,UXD
'n,LO
dringende,ASA
behoefte,NSE
om,SVS
die,LB
menseregte-krisis,NSE
in,SVS
daardie,PA
land,NSE
te,UPI
help,VTUOA
aanspreek,VTHSG
.,ZE
,
ons,PEMP
sal,VTUOM
almal,PO
saamwerk,VTHSO
om,SVS
die,LB
negatiewe,ASA
uitwerking,NSE
wat,PB
hierdie,PA
gebeure,NSM
op,SVS
die,LB
ekonomie,NSE
gehad,VVHOG
het,VUOT
",",ZM
hok,UPW
te,UPI
slaan,VTHOG
.,ZE
,
as,KO
ons,PEMP
terugkyk,VTHSO
oor,SVS
die,LB
afgelope,ASA
15,RS
jaar,NSE
wil,VTUOM
ek,PEENP
graag,BS
erkenning,NA
gee,VTHOG
aan,SVS
president,NSE
nelson,NEE
mandela,NEE
en,KN
president,NSE
thabo,NEE
mbeki,NEE
se,UPS
verbintenis,NSE
en,KN
harde,ASA
werk,NA
",",ZM
asook,KN
die,LB
talle,THAO
vroue,NSM
en,KN
mans,NSM
wat,PB
'n,LO
rol,NSE
gespeel,VVHOG
het,VUOT
om,SVS
die,LB
demokratiese,ASA
staatstuig,NSE
te,UPI
stuur,VTHOG
:,ZM
in,SVS
die,LB
uitvoerende,ASA
raad,NSE
en,KN
die,LB
administrasie,NA
",",ZM
die,LB
wetgewers,NSM
op,SVS
die,LB
drie,THAB
regeringsvlakke,NSM
en,KN
die,LB
regbank,NSE
;,ZM
gedryf,VVHOG
deur,SVS
die,LB
begeerte,NSE
om,SVS
die,LB
lewenskwaliteit,NA
van,SVS
alle,THAO
suid-afrikaners,NSM
te,UPI
verbeter,VTHOG
.,ZE
,
jy,PTENP
moet,VTUOM
'n,LO
aansoekfooi,NSE
van,SVS
r225,RS
(,ZPL
btw,RL
ingesluit,VVHOG
),ZPR
betaal,VTHOG
.,ZE
,
groep,NSE
2-misstowwe,NSM
is,VTHOK
dié,PA
wat,PB
makro-,RWD
of,KN
mikroörganismes,NSM
as,KO
hoofbestanddeel,NSE
bevat,VTHOG
.,ZE
,
huur,NM
wat,PB
jy,PTENP
as,KO
huurder,NSE
betaal,VTHOG
het,VUOT
of,KN
as,KO
agent,NSE
ingevorder,VVHOG
het,VUOT
,
indien,KO
die,LB
belastingjaar,NSE
op,SVS
28,RS
of,KN
29,RS
februarie,NEE
eindig,VTHOO
",",ZM
sewe,THAB
maande,NSM
later,BV
,
die,LB
onderstaande,ASA
invoerbeperkings,NSM
geld,VTHOO
:,ZM
,
die,LB
leerder,NSE
is,VTHOK
in,SVS
staat,NSE
om,SVS
vrymoedig,BS
en,KN
doeltreffend,BS
in,SVS
gesproke,ASA
taal,NSE
binne,SVS
'n,LO
wye,ASA
verskeidenheid,NSE
situasies,NSM
te,UPI
kommunikeer,VTHOO
.,ZE
,
die,LB
communal,RV
land,RV
rights,RV
act,RV
begin,VTUOA
toepas,VTHSG
om,SVS
die,LB
ekonomiese,ASA
gebruik,NA
van,SVS
gemeenskaplike,ASA
grond,NM
te,UPI
verbeter,VTHOG
",",ZM
terwyl,KO
ons,PEMP
terselfdertyd,BS
hulp,NA
in,SVS
die,LB
vorm,NSE
van,SVS
besproeiing,NM
",",ZM
saad,NM
en,KN
implemente,NSM
aan,SVS
kleinboere,NSM
en,KN
koöperatiewe,ASA
boere,NSM
verleen,VTHOG
.,ZE
,
bereid,ASP
wees,VTHOK
om,SVS
deel,UPW
te,UPI
neem,VTHOO
aan,SVS
'n,LO
opleidingsprogram,NSE
sodra,KO
jy,PTENP
grond,NM
bekom,VTHOG
het,VUOT
,
die,LB
straatnaam,NSE
en,KN
nommer,NSE
van,SVS
die,LB
kortingspakhuis,NSE
,
vorm,NSE
j192,RS
:,ZM
beëdigde,ASA
verklaring,NSE
:,ZM
besonderhede,NSM
van,SVS
naasbestaandes,NSM
-,ZM
word,VTUOP
voltooi,VTHOG
indien,KO
die,LB
oorledene,NSE
nie,BS
'n,LO
geldige,ASA
testament,NSE
nagelaat,VVHOG
het,VUOT
nie,UPO
,
die,LB
gcis,RL
kan,VTUOM
die,LB
inligting,NM
wat,PB
'n,LO
gebruiker,NSE
indien,VTHSG
",",ZM
gebruik,VTHOG
om,SVS
'n,LO
persoonlike,ASA
profiel,NSE
te,UPI
skep,VTHOG
om,SVS
sy,PDHEB
reaksie,NSE
op,SVS
verdere,ASA
versoeke,NSM
of,KN
navrae,NSM
pasklaar,BS
te,UPI
maak,VTHOG
en,KN
om,SVS
sy,PDHEB
webwerf,NSE
te,UPI
verbeter,VTHOG
.,ZE
,
mevrou,NSE
die,LB
speaker,NSE
en,KN
voorsitter,NSE
,
kry,VTHOG
die,LB
riglyne,NSM
oor,SVS
algemene,ASA
vereistes,NSM
vir,SVS
veevoedsel,NM
by,SVS
die,LB
registrateur,NSE
van,SVS
wet,NSE
36,RS
van,SVS
1947,RS
.,ZE
,
soos,UPV
die,LB
agbare,ASA
